Id,Title,Location,Director,Rating,Genre
1,The Secret Promise,Main Library - Floor 2,Ethan Donovan,3.9,Romance
10,Signal at Midnight,Main Library - Floor 1,Evelyn Quincy,3.42,Sci-Fi
100,Letter at Midnight,Stacks B,Elijah Iverson,3.26,Romance
1000,Chronicle at Midnight,Stacks A,Ella Quincy,1.0,Mystery
100001,Paradox at Midnight,Media Center,Sebastian Hawthorne,2.8,Adventure
100003,The Shattered Chronicle,Periodicals Desk,Lucas Fletcher,4.0,Mystery
100006,The Silent Trial,Archives Room,Scarlett Carter,3.6,Adventure
100008,Chronicle at Midnight,Media Center,Michael Zimmerman,2.9,Adventure
100010,The Hidden Voyage,Periodicals Desk,Chloe Dawson,1.0,Comedy
100013,City at Midnight,Stacks B,Scarlett Sinclair,3.0,Adventure
100015,Harbor at Midnight,Stacks B,Alexander Blackwell,3.2,Documentary
100017,Last Echo,Archives Room,Amelia Carter,4.4,Mystery
100032,Shattered Chronicle,North Campus Library,Olivia Nolan,3.8,Thriller
100034,Golden Chronicle,South Campus Library,Logan Hawthorne,4.8,Documentary
100036,Iron Chronicle,Periodicals Desk,Ethan Carter,3.4,Documentary
100038,Echo at Midnight,Archives Room,Amelia Ramirez,4.7,Drama
100040,Final Signal,Main Library - Floor 1,Daniel Nolan,3.3,Sci-Fi
100042,Rising Signal,Reference Wing,Ethan Zimmerman,2.9,Comedy
100044,Trial at Midnight,Reference Wing,Ava Prescott,4.5,Comedy
100046,Velvet River,North Campus Library,Noah Vasquez,4.7,Documentary
100048,Broken Chronicle,North Campus Library,Evelyn Young,4.0,Adventure
100050,Last River,Periodicals Desk,Benjamin Donovan,4.2,Mystery
100052,The Radiant Mirage,Reference Wing,Amelia Blackwell,4.6,Romance
100054,Forgotten Kingdom,Archives Room,Logan Underwood,3.5,Mystery
100056,The Wandering Lantern,Riverside Branch,Noah Dawson,3.4,Adventure
100058,Midnight Horizon,North Campus Library,Isabella Garcia,3.6,Romance
100060,The Crimson Voyage,South Campus Library,Daniel Carter,4.2,Animation
100062,Secret Echo,North Campus Library,Sophia Prescott,3.5,Sci-Fi
100068,Radiant Signal,Stacks A,Evelyn Nolan,3.0,Mystery
100070,Harbor at Midnight,Main Library - Floor 2,Noah Fletcher,4.5,Drama
100072,The Crimson Summit,Stacks A,Sophia Montgomery,3.2,Comedy
100075,Horizon at Midnight,Archives Room,Liam Xu,3.1,Mystery
100077,Broken Horizon,Downtown Branch,Lucas Ellis,4.6,Animation
100079,The Golden Lantern,Stacks B,Abigail Garcia,3.9,Thriller
100081,River at Midnight,Downtown Branch,Emma Hawthorne,3.9,Romance
100083,Letter at Midnight,Stacks A,Mason Xu,2.17,Comedy
100085,The Golden Kingdom,Main Library - Floor 1,Michael Vasquez,2.9,Thriller
100087,The Golden Voyage,Reference Wing,Mia Underwood,3.0,Romance
100089,The Midnight Lantern,North Campus Library,Benjamin Hawthorne,4.8,Thriller
100091,Lonely Lantern,Media Center,Ava Dawson,3.0,Action
100093,The Shattered Summit,Reference Wing,Henry Xu,2.75,Mystery
100096,Harbor at Midnight,Main Library - Floor 2,Mason Kensington,3.0,Sci-Fi
100099,Crimson Lantern,Reference Wing,Isabella Dawson,3.6,Mystery
1001,Burning Letter,Main Library - Floor 2,Emma Whitaker,3.5,Animation
100101,River at Midnight,Archives Room,Ethan Owens,4.1,Adventure
100103,Lonely Promise,Downtown Branch,Grace Turner,3.0,Comedy
100106,Forgotten Chronicle,Stacks A,Daniel Hawthorne,4.0,Romance
100108,The Shattered Signal,Reference Wing,Sophia Lawson,3.12,Comedy
100131,The Golden Trial,Riverside Branch,Mia Carter,3.9,Adventure
100138,Shattered Summit,South Campus Library,James Underwood,4.7,Adventure
100141,The Iron Empire,Main Library - Floor 1,Grace Garcia,4.9,Animation
100143,Lantern at Midnight,Media Center,Noah Hughes,4.5,Sci-Fi
100145,Summit at Midnight,Riverside Branch,Isabella Nolan,4.4,Romance
100147,Velvet Harbor,North Campus Library,Noah Iverson,3.3,Drama
100150,Trial at Midnight,Reference Wing,Harper Blackwell,4.4,Sci-Fi
100155,Forgotten Summit,South Campus Library,Ethan Anderson,3.4,Sci-Fi
100157,Paradox at Midnight,Periodicals Desk,Olivia Garcia,3.5,Action
100159,Kingdom at Midnight,South Campus Library,Alexander Marlowe,3.5,Documentary
100161,Golden River,Stacks A,Sophia Lawson,2.9,Action
100163,The Crimson Letter,Stacks A,Michael Zimmerman,3.06,Action
100165,The Burning Letter,Downtown Branch,Evelyn Prescott,3.3,Animation
100167,The Golden Shadow,Reference Wing,Daniel Lawson,3.0,Thriller
100169,The Shattered Summit,North Campus Library,Grace Donovan,2.0,Romance
100171,Letter at Midnight,Archives Room,Scarlett Xu,4.4,Action
100173,Velvet Signal,Periodicals Desk,Ava Kensington,4.7,Thriller
100180,Crimson Horizon,Archives Room,Ethan Turner,2.9,Action
100183,Mirage at Midnight,Media Center,Abigail Zimmerman,3.4,Action
100185,The Last Echo,Riverside Branch,Harper Kensington,4.5,Romance
100188,Summit at Midnight,Stacks B,Olivia Sinclair,4.4,Drama
100190,Garden at Midnight,Downtown Branch,Liam Lawson,4.7,Animation
100192,The Burning Chronicle,Stacks B,Alexander Blackwell,4.0,Romance
100194,Paradox at Midnight,South Campus Library,Evelyn Owens,3.3,Animation
100196,Rising Voyage,Periodicals Desk,Benjamin Hawthorne,4.2,Action
100198,Promise at Midnight,Archives Room,Harper Marlowe,3.5,Adventure
1002,Crimson Voyage,Downtown Branch,Mason Turner,2.9,Comedy
100200,Paradox at Midnight,North Campus Library,Abigail Dawson,4.6,Action
100203,The Lonely Harbor,North Campus Library,Liam Montgomery,3.6,Romance
100205,Last Kingdom,Main Library - Floor 1,Sophia Bennett,2.9,Animation
100208,Burning Frontier,Periodicals Desk,Liam Young,4.3,Thriller
100210,Broken Empire,Main Library - Floor 1,Daniel Zimmerman,3.3,Sci-Fi
100222,The Secret Echo,Downtown Branch,Ethan Turner,4.1,Drama
100226,Last Horizon,Stacks A,Sophia Ellis,4.6,Animation
100229,Shattered Garden,Main Library - Floor 2,Amelia Blackwell,3.2,Adventure
100232,Last Mirage,Main Library - Floor 2,Grace Turner,2.9,Sci-Fi
100238,Lantern at Midnight,Reference Wing,Mia Hughes,3.7,Romance
100240,Horizon at Midnight,Stacks A,Michael Sinclair,2.9,Documentary
100244,Chronicle at Midnight,Reference Wing,Sebastian Kensington,4.0,Drama
100246,The Secret Harbor,Periodicals Desk,Michael Iverson,3.0,Romance
100248,Echo at Midnight,Main Library - Floor 1,Ella Marlowe,3.0,Documentary
100251,Broken Paradox,Stacks B,Benjamin Quincy,2.9,Mystery
100253,Frontier at Midnight,Riverside Branch,Sebastian Underwood,3.0,Drama
100255,Voyage at Midnight,Stacks A,Mia Xu,3.7,Action
100257,Mirage at Midnight,North Campus Library,Olivia Quincy,3.1,Sci-Fi
100259,Signal at Midnight,Reference Wing,Chloe Underwood,4.5,Action
100262,Trial at Midnight,Periodicals Desk,Jackson Nolan,4.2,Comedy
100264,The Crimson Mirage,Reference Wing,Benjamin Fletcher,4.7,Mystery
100266,Midnight River,South Campus Library,Liam Blackwell,2.9,Romance
100268,Hidden Harbor,North Campus Library,Alexander Whitaker,4.7,Comedy
100270,The Burning Lantern,Periodicals Desk,Harper Garcia,4.5,Mystery
100272,Trial at Midnight,Stacks A,Mia Iverson,3.4,Action
100275,Empire at Midnight,Riverside Branch,Evelyn Bennett,4.0,Sci-Fi
100277,Trial at Midnight,Periodicals Desk,Sebastian Kensington,4.7,Romance
100287,Frontier at Midnight,Stacks A,Amelia Underwood,3.5,Documentary
100289,City at Midnight,South Campus Library,Logan Lawson,3.6,Action
100291,Burning Empire,Media Center,Evelyn Jensen,3.1,Comedy
100294,The Wandering Mirage,Stacks A,Mason Quincy,4.6,Action
100296,Secret Echo,Periodicals Desk,Grace Montgomery,2.9,Animation
100298,Silent Frontier,South Campus Library,Alexander Sinclair,4.8,Drama
1003,The Secret Kingdom,Riverside Branch,Logan Bennett,3.61,Comedy
100300,The Shattered Paradox,Downtown Branch,Scarlett Owens,4.0,Mystery
100302,Radiant Signal,South Campus Library,Amelia Underwood,3.0,Drama
100304,Velvet Voyage,Archives Room,Michael Kensington,4.8,Action
100306,Burning Chronicle,Periodicals Desk,Abigail Carter,2.0,Animation
100308,Fading Garden,Reference Wing,Elijah Owens,4.9,Action
100310,The Last Trial,Stacks B,Ethan Quincy,3.6,Documentary
100312,The Golden Paradox,Stacks A,Charlotte Whitaker,2.8,Action
100315,The Last Signal,Main Library - Floor 1,Noah Garcia,3.5,Thriller
100322,Velvet Echo,Reference Wing,Scarlett Ellis,4.1,Adventure
100324,The Electric Harbor,Media Center,Mia Hughes,1.0,Drama
100326,Voyage at Midnight,Riverside Branch,Abigail Vasquez,2.5,Adventure
100328,Radiant City,Main Library - Floor 2,Ava Owens,3.5,Romance
100330,Crimson Garden,South Campus Library,Amelia Fletcher,4.1,Drama
100332,Velvet Chronicle,Stacks A,Henry Underwood,2.9,Sci-Fi
100334,Wandering Trial,Stacks A,Sophia Nolan,3.2,Animation
100336,Radiant Shadow,Reference Wing,Abigail Montgomery,4.1,Mystery
100338,Lonely Summit,Periodicals Desk,James Young,3.5,Drama
100342,Lonely Kingdom,Stacks A,Sophia Quincy,4.2,Mystery
100344,Final Empire,Periodicals Desk,Ava Hawthorne,3.75,Comedy
100347,Radiant City,North Campus Library,Henry Garcia,3.8,Mystery
100356,Lantern at Midnight,Stacks A,Isabella Montgomery,3.75,Sci-Fi
100359,Burning Chronicle,Periodicals Desk,Harper Hawthorne,1.0,Action
100361,The Lonely Mirage,South Campus Library,Harper Owens,4.3,Drama
100363,Velvet Promise,Main Library - Floor 1,Noah Prescott,3.7,Romance
100365,Silent Trial,Stacks A,Isabella Zimmerman,4.7,Romance
100368,Summit at Midnight,Main Library - Floor 1,Chloe Carter,4.4,Thriller
100370,Kingdom at Midnight,Stacks B,Lucas Montgomery,3.6,Animation
100372,Lantern at Midnight,South Campus Library,Sophia Whitaker,4.1,Documentary
100383,The Forgotten Harbor,Riverside Branch,Mason Whitaker,3.65,Adventure
100385,Shattered Summit,Archives Room,Mia Garcia,3.4,Animation
100387,Empire at Midnight,Reference Wing,Amelia Quincy,4.9,Mystery
100390,Forgotten Shadow,Periodicals Desk,Grace Anderson,3.0,Comedy
100393,Empire at Midnight,Stacks A,Abigail Owens,4.4,Thriller
100395,Shattered Garden,Downtown Branch,Elijah Young,4.8,Mystery
100397,Electric Chronicle,South Campus Library,Ava Kensington,3.3,Animation
1004,Shadow at Midnight,Reference Wing,Henry Carter,3.06,Adventure
100401,Silent City,South Campus Library,Harper Anderson,4.0,Action
100404,The Golden Summit,Reference Wing,Elijah Zimmerman,4.5,Animation
100406,Rising River,Archives Room,Isabella Ellis,4.1,Mystery
100408,The Last Empire,Stacks A,Grace Garcia,4.3,Adventure
100411,Last Voyage,South Campus Library,Grace Hughes,4.3,Documentary
100415,The Rising Signal,Periodicals Desk,Ella Owens,2.9,Animation
100419,Secret Lantern,Reference Wing,Harper Whitaker,3.2,Romance
100421,Broken Voyage,Stacks A,Alexander Anderson,3.5,Comedy
100423,Lonely Summit,South Campus Library,Daniel Bennett,2.9,Comedy
100426,Broken Harbor,Main Library - Floor 1,Ella Young,3.7,Animation
100436,Crimson Mirage,Periodicals Desk,Noah Fletcher,3.6,Comedy
100438,The Wandering Lantern,Riverside Branch,Olivia Iverson,3.0,Mystery
100440,Chronicle at Midnight,South Campus Library,Mason Anderson,4.8,Mystery
100442,Crimson Promise,Media Center,Benjamin Montgomery,4.5,Drama
100444,Fading River,Media Center,Amelia Xu,4.2,Romance
100446,Signal at Midnight,Archives Room,Mason Jensen,3.8,Romance
100448,Harbor at Midnight,Media Center,Liam Zimmerman,3.2,Drama
100450,Mirage at Midnight,Downtown Branch,Lucas Underwood,4.2,Drama
100452,Promise at Midnight,Downtown Branch,Scarlett Bennett,3.2,Documentary
100457,Echo at Midnight,Riverside Branch,Liam Zimmerman,3.1,Thriller
100463,Harbor at Midnight,Periodicals Desk,Mason Nolan,3.3,Romance
100465,The Golden Harbor,Main Library - Floor 2,James Dawson,4.6,Action
100467,Chronicle at Midnight,Stacks B,Ethan Young,4.7,Thriller
100469,Lantern at Midnight,Media Center,Mason Carter,3.5,Romance
100483,Shattered Frontier,North Campus Library,Abigail Ramirez,4.3,Adventure
100485,Promise at Midnight,Stacks A,Ethan Ramirez,3.7,Action
100487,The Lonely Promise,Media Center,Alexander Quincy,3.75,Comedy
