Id,Title,Location,Publisher,ISSN,Volume,Issue #,Publication date
nla.obj-1001708,Health Forum 1001708,Stacks B,Crown Press,1000-1000,24,10,1989-12-01
nla.obj-100298,Industry Chronicle 100298,Downtown Branch,Summit Works,1001-1007,17,7,1988-06-01
nla.obj-1006210184,Research Report 1006210184,Stacks A,Brighton House,1002-1014,39,vember,1954-11-01
nla.obj-1017298673,Economic Journal 1017298673,Stacks A,Ironwood House,1003-1021,29,1,1995-01-01
nla.obj-1017298956,Medical Observer 1017298956,Stacks A,Lakeshore House,1004-1028,43,2,1995-02-01
nla.obj-1017299217,Public Affairs Digest 1017299217,Main Library - Floor 1,Broadview Press,1005-1035,11,3,1995-03-01
nla.obj-1017299380,Global Chronicle 1017299380,Periodicals Desk,Stonefield Journals,1006-1042,46,4,1995-04-01
nla.obj-1017299656,Global Observer 1017299656,Stacks A,Broadview Journals,1007-1049,20,5,1995-05-01
nla.obj-1017299821,Business Observer 1017299821,Stacks B,Lakeshore Publications,1008-1056,18,6,1995-06-01
nla.obj-1017303858,Literary Journal 1017303858,Archives Room,Crown Works,1009-1063,18,54,1966-12-01
nla.obj-1017304179,Health Times 1017304179,Stacks A,Pinecrest Review,1010-1070,11,7,1995-07-01
nla.obj-1017304296,Global Report 1017304296,Downtown Branch,Maple Publishing,1011-1077,39,55,1967-12-01
nla.obj-1017304529,Research Times 1017304529,Main Library - Floor 1,Crescent Press,1012-1084,13,8,1995-08-01
nla.obj-1017304624,Culture Review 1017304624,Periodicals Desk,Maple Works,1013-1091,39,9,1995-09-01
nla.obj-1017304635,Global Review 1017304635,Stacks A,Hillside Media Group,1014-1098,10,56,1968-12-01
nla.obj-1017304975,Business Bulletin 1017304975,Periodicals Desk,Brighton Works,1015-1105,12,10,1995-10-01
nla.obj-1017305254,Education Digest 1017305254,Media Center,Westgate House,1016-1112,39,11,1995-11-01
nla.obj-1017305369,Culture Review 1017305369,Downtown Branch,Northbridge Publishing,1017-1119,9,12,1995-12-01
nla.obj-1018052037,Finance Journal 1018052037,Media Center,Redwood Press,1018-1126,47,1,1962-01-26
nla.obj-1018052059,Research Bulletin 1018052059,Archives Room,Stonefield Journals,1019-1133,48,2,1962-02-09
nla.obj-1018052125,Science Review 1018052125,Stacks B,Crown Editions,1020-1140,21,3,1962-02-23
nla.obj-1018052308,Industry Journal 1018052308,Downtown Branch,Elmwood Books,1021-1147,11,4,1962-03-09
nla.obj-1018052488,Business Forum 1018052488,North Campus Library,Hillside Works,1022-1154,24,5,1962-03-23
nla.obj-1018052502,Medical Bulletin 1018052502,Downtown Branch,Broadview Press,1023-1161,26,6,1962-04-06
nla.obj-1018052544,Industry Review 1018052544,Periodicals Desk,Granite Works,1024-1168,43,7,1962-04-21
nla.obj-1018052667,Environmental Review 1018052667,Archives Room,Crescent Editions,1025-1175,2,8,1962-05-04
nla.obj-1023296950,Environmental Journal 1023296950,Periodicals Desk,Broadview Press,1026-1182,7,5,1998-05-01
nla.obj-1023296975,Science Review 1023296975,Downtown Branch,Broadview Publishing,1027-1189,1,6,1998-06-01
nla.obj-1023296991,Research Journal 1023296991,Downtown Branch,Elmwood Editions,1028-1196,46,7,1998-07-01
nla.obj-1023297016,Research Review 1023297016,Main Library - Floor 2,Granite Books,1029-1203,8,8,1998-08-01
nla.obj-1023297034,Global Journal 1023297034,North Campus Library,Pinecrest Press,1030-1210,47,9,1998-09-01
nla.obj-1023410207,Legal Journal 1023410207,South Campus Library,Lakeshore House,1031-1217,24,10,1998-10-01
nla.obj-1023410264,Education Journal 1023410264,Periodicals Desk,Summit Review,1032-1224,33,11,1998-11-01
nla.obj-1023410286,Medical Observer 1023410286,Periodicals Desk,Summit Media Group,1033-1231,3,12,1998-12-01
nla.obj-1023490780,Innovation Observer 1023490780,Reference Wing,Fairmont Journals,1034-1238,9,1,1970-01-01
nla.obj-1023490917,Legal Observer 1023490917,Media Center,Northbridge Books,1035-1245,30,2,1970-02-01
nla.obj-1023490958,Business Digest 1023490958,South Campus Library,Crown Media Group,1036-1252,13,3,1970-03-01
nla.obj-1023490974,Civic Journal 1023490974,South Campus Library,Summit Media Group,1037-1259,38,4,1970-04-01
nla.obj-1023491102,Science Bulletin 1023491102,Stacks B,Granite Works,1038-1266,46,5,1970-05-01
nla.obj-1023555422,Medical Times 1023555422,Stacks A,Granite Review,1039-1273,38,6,1970-06-01
