id,keywords
'862,"[{''id''':'931, ''name''':'jealousy}, {''id''':'4290, ''name''':'toy}, {''id''':'5202, ''name''':'boy}, {''id''':'6054, ''name''':'friendship}, {''id''':'9713, ''name''':'friends}, {''id''':'9823, ''name''':'rivalry}, {''id''':'165503, ''name''':'boy next door}, {''id''':'170722, ''name''':'new toy}, {''id''':'187065, ''name''':toy comes to life}]"
'8844,"[{''id''':'10090, ''name''':'board game}, {''id''':'10941, ''name''':'disappearance}, {''id''':'15101, ''name''':'""based on children''s book""}, {''id''':'33467, ''name''':'new home}, {''id''':'158086, ''name''':'recluse}, {''id''':'158091, ''name''':giant insect}]"
'15602,"[{''id''':'1495, ''name''':'fishing}, {''id''':'12392, ''name''':'best friend}, {''id''':'179431, ''name''':'duringcreditsstinger}, {''id''':'208510, ''name''':old men}]"
'31357,"[{''id''':'818, ''name''':'based on novel}, {''id''':'10131, ''name''':'interracial relationship}, {''id''':'14768, ''name''':'single mother}, {''id''':'15160, ''name''':'divorce}, {''id''':'33455, ''name''':chick flick}]"
'11862,"[{''id''':'1009, ''name''':'baby}, {''id''':'1599, ''name''':'midlife crisis}, {''id''':'2246, ''name''':'confidence}, {''id''':'4995, ''name''':'aging}, {''id''':'5600, ''name''':'daughter}, {''id''':'10707, ''name''':'mother daughter relationship}, {''id''':'13149, ''name''':'pregnancy}, {''id''':'33358, ''name''':'contraception}, {''id''':'170521, ''name''':gynecologist}]"
'949,"[{''id''':'642, ''name''':'robbery}, {''id''':'703, ''name''':'detective}, {''id''':'974, ''name''':'bank}, {''id''':'1523, ''name''':'obsession}, {''id''':'3713, ''name''':'chase}, {''id''':'7281, ''name''':'shooting}, {''id''':'9727, ''name''':'thief}, {''id''':'9812, ''name''':'honor}, {''id''':'9826, ''name''':'murder}, {''id''':'9937, ''name''':'suspense}, {''id''':'10051, ''name''':'heist}, {''id''':'10085, ''name''':'betrayal}, {''id''':'10594, ''name''':'money}, {''id''':'10726, ''name''':'gang}, {''id''':'15076, ''name''':'cat and mouse}, {''id''':'18023, ''name''':'criminal mastermind}, {''id''':'34117, ''name''':'cult film}, {''id''':'156121, ''name''':'ex-con}, {''id''':'159343, ''name''':'heist movie}, {''id''':'159434, ''name''':'one last job}, {''id''':'167104, ''name''':'loner}, {''id''':'192261, ''name''':'bank job}, {''id''':'207268, ''name''':'neo-noir}, {''id''':'208009, ''name''':'gun fight}, {''id''':'214983, ''name''':crime epic}]"
'11860,"[{''id''':'90, ''name''':'paris}, {''id''':'380, ''name''':'brother brother relationship}, {''id''':'2072, ''name''':'chauffeur}, {''id''':'9398, ''name''':'long island}, {''id''':'9492, ''name''':'fusion}, {''id''':'33626, ''name''':millionaire}]"
45325,[]
'9091,"[{''id''':'949, ''name''':'terrorist}, {''id''':'1562, ''name''':'hostage}, {''id''':'1653, ''name''':'explosive}, {''id''':'193533, ''name''':vice president}]"
'710,"[{''id''':'701, ''name''':'cuba}, {''id''':'769, ''name''':'falsely accused}, {''id''':'1308, ''name''':'secret identity}, {''id''':'2812, ''name''':'computer virus}, {''id''':'3268, ''name''':'secret base}, {''id''':'3272, ''name''':'secret intelligence service}, {''id''':'3278, ''name''':'kgb}, {''id''':'3376, ''name''':'satellite}, {''id''':'3531, ''name''':'special car}, {''id''':'3560, ''name''':'cossack}, {''id''':'3561, ''name''':'electromagnetic pulse}, {''id''':'3562, ''name''':'time bomb}, {''id''':'3563, ''name''':'st. petersburg russia}, {''id''':'3564, ''name''':'ejection seat}, {''id''':'193008, ''name''':red army}]"
