id,title_id,title,description,date,url,pages,text_download_url
nla.obj-8447243,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 1,1916-11-10,https://nla.gov.au/nla.obj-8447243,"48,https://trove.nla.gov.au/nla.obj-8447243/download?downloadOption=ocr&firstPage=0&lastPage=47"
nla.obj-8452230,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 2,1916-12-20,https://nla.gov.au/nla.obj-8452230,"40,https://trove.nla.gov.au/nla.obj-8452230/download?downloadOption=ocr&firstPage=0&lastPage=39"
nla.obj-8458012,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 3,1917-01-19,https://nla.gov.au/nla.obj-8458012,"40,https://trove.nla.gov.au/nla.obj-8458012/download?downloadOption=ocr&firstPage=0&lastPage=39"
nla.obj-8465575,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 4,1917-02-19,https://nla.gov.au/nla.obj-8465575,"40,https://trove.nla.gov.au/nla.obj-8465575/download?downloadOption=ocr&firstPage=0&lastPage=39"
nla.obj-8469716,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 5,1917-03-09,https://nla.gov.au/nla.obj-8469716,"36,https://trove.nla.gov.au/nla.obj-8469716/download?downloadOption=ocr&firstPage=0&lastPage=35"
nla.obj-8473393,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 6,1917-04-19,https://nla.gov.au/nla.obj-8473393,"38,https://trove.nla.gov.au/nla.obj-8473393/download?downloadOption=ocr&firstPage=0&lastPage=37"
nla.obj-8477277,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 7,1917-05-21,https://nla.gov.au/nla.obj-8477277,"36,https://trove.nla.gov.au/nla.obj-8477277/download?downloadOption=ocr&firstPage=0&lastPage=35"
nla.obj-8480954,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 Number 8,1917-06-16,https://nla.gov.au/nla.obj-8480954,"38,https://trove.nla.gov.au/nla.obj-8480954/download?downloadOption=ocr&firstPage=0&lastPage=37"
nla.obj-9139951,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""","Volume 1, number 9",1917-07-10,https://nla.gov.au/nla.obj-9139951,"38,https://trove.nla.gov.au/nla.obj-9139951/download?downloadOption=ocr&firstPage=0&lastPage=37"
nla.obj-9161241,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""","Volume 1, number 10",1917-08-24,https://nla.gov.au/nla.obj-9161241,"36,https://trove.nla.gov.au/nla.obj-9161241/download?downloadOption=ocr&firstPage=0&lastPage=35"
nla.obj-15922909,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""","Vol. I, No. 10 Bristol, August 24th",1917-08-24,https://nla.gov.au/nla.obj-15922909,"38,https://trove.nla.gov.au/nla.obj-15922909/download?downloadOption=ocr&firstPage=0&lastPage=37"
nla.obj-9557231,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""","Volume 1, number 11",1917-09-18,https://nla.gov.au/nla.obj-9557231,"36,https://trove.nla.gov.au/nla.obj-9557231/download?downloadOption=ocr&firstPage=0&lastPage=35"
nla.obj-9878439,nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",Volume 1 No 12,1917-10-20,https://nla.gov.au/nla.obj-9878439,"42,https://trove.nla.gov.au/nla.obj-9878439/download?downloadOption=ocr&firstPage=0&lastPage=41"
nla.obj-3041640304,nla.obj-2998991958,"(Ross's) Hobart Town almanack, and Van Diemen's Land annual.",(1835),1835-01-01,https://nla.gov.au/nla.obj-3041640304,344,https://trove.nla.gov.au/nla.obj-3041640304/download?downloadOption=ocr&firstPage=0&lastPage=343
nla.obj-3008849314,nla.obj-2998997061,(Ross's) Van Diemen's Land annual and Hobart Town almanack.,(1834),1934-01-01,https://nla.gov.au/nla.obj-3008849314,160,https://trove.nla.gov.au/nla.obj-3008849314/download?downloadOption=ocr&firstPage=0&lastPage=159
nla.obj-15967449,nla.obj-15956697,14th Company magazine.,"Palestine (14 June, 1918)",1918-06-14,https://nla.gov.au/nla.obj-15967449,17,https://trove.nla.gov.au/nla.obj-15967449/download?downloadOption=ocr&firstPage=0&lastPage=16
nla.obj-170047078,nla.obj-250818955,20 favourite & war-time camp songs [music].,[1st] [1940?],,https://nla.gov.au/nla.obj-170047078,52,https://trove.nla.gov.au/nla.obj-170047078/download?downloadOption=ocr&firstPage=0&lastPage=51
nla.obj-171920359,nla.obj-250818955,20 favourite & war-time camp songs [music].,2nd [1940-1941?],,https://nla.gov.au/nla.obj-171920359,51,https://trove.nla.gov.au/nla.obj-171920359/download?downloadOption=ocr&firstPage=0&lastPage=50
nla.obj-181287479,nla.obj-250818955,20 favourite & war-time camp songs [music].,3rd [1941],,https://nla.gov.au/nla.obj-181287479,44,https://trove.nla.gov.au/nla.obj-181287479/download?downloadOption=ocr&firstPage=0&lastPage=43
nla.obj-181292335,nla.obj-250818955,20 favourite & war-time camp songs [music].,4th [1943],,https://nla.gov.au/nla.obj-181292335,36,https://trove.nla.gov.au/nla.obj-181292335/download?downloadOption=ocr&firstPage=0&lastPage=35
nla.obj-875190122,nla.obj-773155481,[Magazine],Yearbook (2014),2014-01-01,https://nla.gov.au/nla.obj-875190122,232,https://trove.nla.gov.au/nla.obj-875190122/download?downloadOption=ocr&firstPage=0&lastPage=231
nla.obj-878073760,nla.obj-773155481,[Magazine],Year 12 Magazine (2014),2014-01-02,https://nla.gov.au/nla.obj-878073760,60,https://trove.nla.gov.au/nla.obj-878073760/download?downloadOption=ocr&firstPage=0&lastPage=59
nla.obj-533814792,nla.obj-526663409,[Magazine],2015,2015-01-01,https://nla.gov.au/nla.obj-533814792,108,https://trove.nla.gov.au/nla.obj-533814792/download?downloadOption=ocr&firstPage=0&lastPage=107
nla.obj-880096991,nla.obj-773155481,[Magazine],Yearbook (2015),2015-01-01,https://nla.gov.au/nla.obj-880096991,246,https://trove.nla.gov.au/nla.obj-880096991/download?downloadOption=ocr&firstPage=0&lastPage=245
nla.obj-878073912,nla.obj-773155481,[Magazine],Year 12 Magazine (2015),2015-01-02,https://nla.gov.au/nla.obj-878073912,68,https://trove.nla.gov.au/nla.obj-878073912/download?downloadOption=ocr&firstPage=0&lastPage=67
nla.obj-881214936,nla.obj-773155481,[Magazine],(2016),2016-01-01,https://nla.gov.au/nla.obj-881214936,254,https://trove.nla.gov.au/nla.obj-881214936/download?downloadOption=ocr&firstPage=0&lastPage=253
nla.obj-630675929,nla.obj-526663409,[Magazine],2017,2017-01-01,https://nla.gov.au/nla.obj-630675929,92,https://trove.nla.gov.au/nla.obj-630675929/download?downloadOption=ocr&firstPage=0&lastPage=91
nla.obj-875221295,nla.obj-773155481,[Magazine],(2017),2017-01-01,https://nla.gov.au/nla.obj-875221295,246,https://trove.nla.gov.au/nla.obj-875221295/download?downloadOption=ocr&firstPage=0&lastPage=245
